,Month,Day,Dawn,Sunrise,Sunset,Dusk
73,3,14,05:56,06:31,18:20,18:55
74,3,15,05:53,06:28,18:22,18:57
75,3,16,05:51,06:26,18:24,18:59
76,3,17,05:48,06:23,18:26,19:01
77,3,18,05:45,06:20,18:29,19:04
78,3,19,05:43,06:18,18:31,19:06
79,3,20,05:40,06:15,18:33,19:08
80,3,21,05:37,06:12,18:35,19:10
81,3,22,05:35,06:10,18:37,19:12
82,3,23,05:32,06:07,18:39,19:14
83,3,24,05:29,06:05,18:41,19:16
84,3,25,05:27,06:02,18:43,19:18
85,3,26,05:24,05:59,18:45,19:20
86,3,27,05:21,05:57,18:47,19:22
87,3,28,05:18,05:54,18:49,19:24
88,3,29,05:16,05:51,18:51,19:27
89,3,30,05:13,05:49,18:53,19:29
90,3,31,06:10,06:46,19:55,20:31
91,4,1,06:08,06:44,19:57,20:33
92,4,2,06:05,06:41,19:59,20:35
93,4,3,06:02,06:38,20:01,20:37
94,4,4,05:59,06:36,20:03,20:39
95,4,5,05:57,06:33,20:05,20:42
96,4,6,05:54,06:31,20:07,20:44
97,4,7,05:51,06:28,20:09,20:46
98,4,8,05:48,06:25,20:11,20:48
99,4,9,05:46,06:23,20:13,20:50
100,4,10,05:43,06:20,20:15,20:52
101,4,11,05:40,06:18,20:17,20:55
102,4,12,05:37,06:15,20:19,20:57
103,4,13,05:35,06:13,20:21,20:59
104,4,14,05:32,06:10,20:23,21:01
105,4,15,05:29,06:08,20:25,21:04
106,4,16,05:27,06:05,20:27,21:06
107,4,17,05:24,06:03,20:29,21:08
108,4,18,05:21,06:00,20:31,21:10
109,4,19,05:18,05:58,20:34,21:13
110,4,20,05:16,05:55,20:36,21:15
111,4,21,05:13,05:53,20:38,21:17
112,4,22,05:10,05:50,20:40,21:19
113,4,23,05:08,05:48,20:42,21:22
114,4,24,05:05,05:45,20:44,21:24
115,4,25,05:03,05:43,20:46,21:26
116,4,26,05:00,05:41,20:48,21:29
117,4,27,04:57,05:38,20:50,21:31
118,4,28,04:55,05:36,20:52,21:33
119,4,29,04:52,05:34,20:54,21:36
120,4,30,04:49,05:32,20:56,21:38
121,5,1,04:47,05:29,20:58,21:40
122,5,2,04:44,05:27,21:00,21:43
123,5,3,04:42,05:25,21:02,21:45
124,5,4,04:39,05:23,21:04,21:47
125,5,5,04:37,05:21,21:06,21:50
126,5,6,04:34,05:18,21:08,21:52
127,5,7,04:32,05:16,21:10,21:54
128,5,8,04:29,05:14,21:12,21:57
129,5,9,04:27,05:12,21:14,21:59
130,5,10,04:25,05:10,21:16,22:01
131,5,11,04:22,05:08,21:18,22:04
132,5,12,04:20,05:06,21:20,22:06
133,5,13,04:18,05:04,21:21,22:08
134,5,14,04:15,05:02,21:23,22:10
135,5,15,04:13,05:01,21:25,22:13
136,5,16,04:11,04:59,21:27,22:15
137,5,17,04:09,04:57,21:29,22:17
138,5,18,04:07,04:55,21:31,22:19
139,5,19,04:04,04:54,21:32,22:22
140,5,20,04:02,04:52,21:34,22:24
141,5,21,04:00,04:50,21:36,22:26
142,5,22,03:58,04:49,21:38,22:28
143,5,23,03:56,04:47,21:39,22:30
144,5,24,03:54,04:46,21:41,22:32
145,5,25,03:53,04:44,21:43,22:34
146,5,26,03:51,04:43,21:44,22:36
147,5,27,03:49,04:42,21:46,22:38
148,5,28,03:47,04:41,21:47,22:40
149,5,29,03:46,04:39,21:49,22:42
150,5,30,03:44,04:38,21:50,22:44
151,5,31,03:43,04:37,21:52,22:46
152,6,1,03:41,04:36,21:53,22:48
153,6,2,03:40,04:35,21:54,22:49
154,6,3,03:39,04:34,21:55,22:51
155,6,4,03:37,04:33,21:57,22:53
156,6,5,03:36,04:32,21:58,22:54
157,6,6,03:35,04:32,21:59,22:56
158,6,7,03:34,04:31,22:00,22:57
159,6,8,03:33,04:30,22:01,22:58
160,6,9,03:32,04:30,22:02,23:00
161,6,10,03:31,04:29,22:03,23:01
162,6,11,03:31,04:29,22:04,23:02
163,6,12,03:30,04:28,22:05,23:03
164,6,13,03:30,04:28,22:05,23:04
165,6,14,03:29,04:28,22:06,23:05
166,6,15,03:29,04:28,22:07,23:05
167,6,16,03:29,04:28,22:07,23:06
168,6,17,03:28,04:28,22:08,23:07
169,6,18,03:28,04:28,22:08,23:07
170,6,19,03:28,04:28,22:08,23:08
171,6,20,03:29,04:28,22:09,23:08
172,6,21,03:29,04:28,22:09,23:08
173,6,22,03:29,04:28,22:09,23:08
174,6,23,03:30,04:29,22:09,23:08
175,6,24,03:30,04:29,22:09,23:08
176,6,25,03:31,04:30,22:09,23:08
177,6,26,03:31,04:30,22:09,23:08
178,6,27,03:32,04:31,22:09,23:07
179,6,28,03:33,04:32,22:08,23:07
180,6,29,03:34,04:32,22:08,23:06
181,6,30,03:35,04:33,22:08,23:06
182,7,1,03:36,04:34,22:07,23:05
183,7,2,03:37,04:35,22:07,23:04
184,7,3,03:39,04:36,22:06,23:03
185,7,4,03:40,04:37,22:05,23:02
186,7,5,03:41,04:38,22:05,23:01
187,7,6,03:43,04:39,22:04,23:00
188,7,7,03:44,04:40,22:03,22:59
189,7,8,03:46,04:41,22:02,22:58
190,7,9,03:47,04:43,22:01,22:56
191,7,10,03:49,04:44,22:00,22:55
192,7,11,03:51,04:45,21:59,22:53
193,7,12,03:53,04:47,21:58,22:52
194,7,13,03:55,04:48,21:57,22:50
195,7,14,03:56,04:49,21:56,22:49
196,7,15,03:58,04:51,21:54,22:47
197,7,16,04:00,04:52,21:53,22:45
198,7,17,04:02,04:54,21:51,22:43
199,7,18,04:04,04:56,21:50,22:41
200,7,19,04:06,04:57,21:49,22:39
201,7,20,04:08,04:59,21:47,22:38
202,7,21,04:11,05:01,21:45,22:35
203,7,22,04:13,05:02,21:44,22:33
204,7,23,04:15,05:04,21:42,22:31
205,7,24,04:17,05:06,21:40,22:29
206,7,25,04:19,05:07,21:39,22:27
207,7,26,04:21,05:09,21:37,22:25
208,7,27,04:24,05:11,21:35,22:23
209,7,28,04:26,05:13,21:33,22:20
210,7,29,04:28,05:15,21:31,22:18
211,7,30,04:30,05:17,21:29,22:16
212,7,31,04:32,05:18,21:27,22:13
213,8,1,04:35,05:20,21:25,22:11
214,8,2,04:37,05:22,21:23,22:09
215,8,3,04:39,05:24,21:21,22:06
216,8,4,04:42,05:26,21:19,22:04
217,8,5,04:44,05:28,21:17,22:01
218,8,6,04:46,05:30,21:15,21:59
219,8,7,04:48,05:32,21:13,21:56
220,8,8,04:51,05:34,21:11,21:54
221,8,9,04:53,05:36,21:08,21:51
222,8,10,04:55,05:38,21:06,21:49
223,8,11,04:57,05:39,21:04,21:46
224,8,12,05:00,05:41,21:02,21:43
225,8,13,05:02,05:43,20:59,21:41
226,8,14,05:04,05:45,20:57,21:38
227,8,15,05:06,05:47,20:55,21:35
228,8,16,05:09,05:49,20:52,21:33
229,8,17,05:11,05:51,20:50,21:30
230,8,18,05:13,05:53,20:47,21:28
231,8,19,05:15,05:55,20:45,21:25
232,8,20,05:17,05:57,20:43,21:22
233,8,21,05:20,05:59,20:40,21:19
234,8,22,05:22,06:01,20:38,21:17
235,8,23,05:24,06:03,20:35,21:14
236,8,24,05:26,06:05,20:33,21:11
237,8,25,05:28,06:07,20:30,21:09
238,8,26,05:31,06:09,20:28,21:06
239,8,27,05:33,06:11,20:25,21:03
240,8,28,05:35,06:13,20:23,21:00
241,8,29,05:37,06:15,20:20,20:58
242,8,30,05:39,06:17,20:17,20:55
243,8,31,05:41,06:19,20:15,20:52
244,9,1,05:43,06:21,20:12,20:49
245,9,2,05:45,06:22,20:10,20:47
246,9,3,05:48,06:24,20:07,20:44
247,9,4,05:50,06:26,20:04,20:41
248,9,5,05:52,06:28,20:02,20:38
249,9,6,05:54,06:30,19:59,20:36
250,9,7,05:56,06:32,19:57,20:33
251,9,8,05:58,06:34,19:54,20:30
252,9,9,06:00,06:36,19:51,20:27
253,9,10,06:02,06:38,19:49,20:25
254,9,11,06:04,06:40,19:46,20:22
255,9,12,06:06,06:42,19:43,20:19
256,9,13,06:08,06:44,19:41,20:16
257,9,14,06:10,06:46,19:38,20:14
258,9,15,06:12,06:48,19:35,20:11
259,9,16,06:14,06:50,19:33,20:08
260,9,17,06:16,06:52,19:30,20:06
261,9,18,06:18,06:53,19:28,20:03
262,9,19,06:20,06:55,19:25,20:00
263,9,20,06:22,06:57,19:22,19:57
264,9,21,06:24,06:59,19:20,19:55
265,9,22,06:26,07:01,19:17,19:52
266,9,23,06:28,07:03,19:14,19:49
267,9,24,06:30,07:05,19:12,19:47
268,9,25,06:32,07:07,19:09,19:44
269,9,26,06:34,07:09,19:06,19:41
270,9,27,06:36,07:11,19:04,19:39
271,9,28,06:38,07:13,19:01,19:36
272,9,29,06:40,07:15,18:58,19:33
273,9,30,06:42,07:17,18:56,19:31
274,10,1,06:44,07:19,18:53,19:28
275,10,2,06:46,07:21,18:51,19:26
276,10,3,06:48,07:23,18:48,19:23
277,10,4,06:50,07:25,18:45,19:20
278,10,5,06:52,07:27,18:43,19:18
279,10,6,06:54,07:29,18:40,19:15
280,10,7,06:56,07:31,18:38,19:13
281,10,8,06:58,07:33,18:35,19:10
282,10,9,07:00,07:35,18:33,19:08
283,10,10,07:02,07:37,18:30,19:05
284,10,11,07:04,07:39,18:27,19:03
285,10,12,07:05,07:41,18:25,19:00
286,10,13,07:07,07:43,18:22,18:58
287,10,14,07:09,07:45,18:20,18:55
288,10,15,07:11,07:47,18:17,18:53
289,10,16,07:13,07:49,18:15,18:51
290,10,17,07:15,07:51,18:13,18:48
291,10,18,07:17,07:53,18:10,18:46
292,10,19,07:19,07:55,18:08,18:44
293,10,20,07:21,07:57,18:05,18:41
294,10,21,07:23,07:59,18:03,18:39
295,10,22,07:25,08:01,18:01,18:37
296,10,23,07:27,08:03,17:58,18:34
297,10,24,07:29,08:06,17:56,18:32
298,10,25,07:31,08:08,17:53,18:30
299,10,26,07:33,08:10,17:51,18:28
300,10,27,06:35,07:12,16:49,17:26
301,10,28,06:37,07:14,16:47,17:24
302,10,29,06:39,07:16,16:44,17:21
303,10,30,06:41,07:18,16:42,17:19
304,10,31,06:43,07:20,16:40,17:17
305,11,1,06:45,07:22,16:38,17:15
306,11,2,06:47,07:24,16:36,17:13
307,11,3,06:49,07:27,16:34,17:11
308,11,4,06:51,07:29,16:32,17:10
309,11,5,06:53,07:31,16:30,17:08
310,11,6,06:55,07:33,16:28,17:06
311,11,7,06:56,07:35,16:26,17:04
312,11,8,06:58,07:37,16:24,17:02
313,11,9,07:00,07:39,16:22,17:01
314,11,10,07:02,07:41,16:20,16:59
315,11,11,07:04,07:43,16:18,16:57
316,11,12,07:06,07:45,16:16,16:56
317,11,13,07:08,07:47,16:14,16:54
318,11,14,07:10,07:49,16:13,16:52
319,11,15,07:12,07:51,16:11,16:51
320,11,16,07:13,07:53,16:09,16:49
321,11,17,07:15,07:55,16:08,16:48
322,11,18,07:17,07:57,16:06,16:47
323,11,19,07:19,07:59,16:05,16:45
324,11,20,07:21,08:01,16:03,16:44
325,11,21,07:22,08:03,16:02,16:43
326,11,22,07:24,08:05,16:00,16:42
327,11,23,07:26,08:07,15:59,16:40
328,11,24,07:27,08:09,15:58,16:39
329,11,25,07:29,08:11,15:57,16:38
330,11,26,07:31,08:13,15:55,16:37
331,11,27,07:32,08:14,15:54,16:36
332,11,28,07:34,08:16,15:53,16:36
333,11,29,07:35,08:18,15:52,16:35
334,11,30,07:37,08:19,15:51,16:34
335,12,1,07:38,08:21,15:50,16:33
336,12,2,07:40,08:23,15:50,16:33
337,12,3,07:41,08:24,15:49,16:32
338,12,4,07:42,08:26,15:48,16:31
339,12,5,07:44,08:27,15:48,16:31
340,12,6,07:45,08:29,15:47,16:31
341,12,7,07:46,08:30,15:47,16:30
342,12,8,07:47,08:31,15:46,16:30
343,12,9,07:49,08:32,15:46,16:30
344,12,10,07:50,08:34,15:45,16:29
345,12,11,07:51,08:35,15:45,16:29
346,12,12,07:52,08:36,15:45,16:29
347,12,13,07:53,08:37,15:45,16:29
348,12,14,07:54,08:38,15:45,16:29
349,12,15,07:54,08:39,15:45,16:29
350,12,16,07:55,08:40,15:45,16:30
351,12,17,07:56,08:40,15:45,16:30
352,12,18,07:57,08:41,15:46,16:30
353,12,19,07:57,08:42,15:46,16:30
354,12,20,07:58,08:42,15:46,16:31
355,12,21,07:58,08:43,15:47,16:31
356,12,22,07:59,08:43,15:47,16:32
357,12,23,07:59,08:44,15:48,16:32
358,12,24,08:00,08:44,15:49,16:33
359,12,25,08:00,08:44,15:49,16:34
360,12,26,08:00,08:44,15:50,16:35
361,12,27,08:00,08:45,15:51,16:35
362,12,28,08:00,08:45,15:52,16:36
363,12,29,08:00,08:45,15:53,16:37
364,12,30,08:00,08:45,15:54,16:38
365,12,31,08:00,08:44,15:55,16:39
